"OrganizationIdentifier","ActivityStartDate","ActivityStartTime/Time","ActivityEndDate","ActivityEndTime/Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultStatusIdentifier","ResultValueTypeName"
"21NC01WQ","2/19/82",09:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","1.5","Final","Actual"
"21NC01WQ","12/15/81",04:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.61","Final","Actual"
"21NC01WQ","11/13/82",00:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","1.5","Final","Actual"
"21NC01WQ","12/2/81",10:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.21","Final","Actual"
"21NC01WQ","7/6/82",09:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.15","Final","Actual"
"21NC01WQ","1/21/82",17:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.24","Final","Actual"
"21NC01WQ","10/21/81",14:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","4.9","Final","Actual"
"21NC01WQ","3/20/83",12:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","1.5","Final","Actual"
"21NC01WQ","11/9/83",09:46:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","0.7","Final","Actual"
"21NC01WQ","11/28/83",10:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","0.9","Final","Actual"
"21NC01WQ","3/20/83",14:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","1.2","Final","Actual"
"21NC01WQ","3/20/83",18:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","1","Final","Actual"
"21NC01WQ","2/6/83",11:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.16","Final","Actual"
"21NC01WQ","11/21/83",10:31:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.19","Final","Actual"
"21NC01WQ","11/28/83",10:31:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.44","Final","Actual"
"21NC01WQ","11/28/83",10:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.4","Final","Actual"
"21NC01WQ","1/7/82",22:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.14","Final","Actual"
"21NC01WQ","3/20/83",10:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.52","Final","Actual"
"21NC01WQ","3/20/83",11:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.34","Final","Actual"
"21NC01WQ","4/24/83",07:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.25","Final","Actual"
"21NC01WQ","2/23/82",04:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.48","Final","Actual"
"21NC01WQ","2/26/82",15:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.15","Final","Actual"
"21NC01WQ","2/26/82",17:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.15","Final","Actual"
"21NC01WQ","4/24/83",03:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.69","Final","Actual"
"21NC01WQ","5/4/83",04:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.39","Final","Actual"
"21NC01WQ","4/24/83",01:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.63","Final","Actual"
"21NC01WQ","10/25/82",01:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.46","Final","Actual"
"21NC01WQ","1/21/82",12:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.29","Final","Actual"
"21NC01WQ","1/25/82",11:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.13","Final","Actual"
"21NC01WQ","1/5/82",07:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.14","Final","Actual"
"21NC01WQ","1/21/82",22:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.19","Final","Actual"
"21NC01WQ","1/21/82",15:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.23","Final","Actual"
"21NC01WQ","1/8/82",04:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.24","Final","Actual"
"21NC01WQ","6/1/83",09:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.48","Final","Actual"
"21NC01WQ","10/14/82",09:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.08","Final","Actual"
"21NC01WQ","2/19/82",09:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.9","Final","Actual"
"21NC01WQ","3/29/82",20:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","1","Final","Actual"
"21NC01WQ","9/14/82",10:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","9.5","Final","Actual"
"21NC01WQ","9/14/82",10:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.3","Final","Actual"
"21NC01WQ","4/5/83",12:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.31","Final","Actual"
"21NC01WQ","5/4/82",08:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","10","Final","Actual"
"21NC01WQ","4/5/82",10:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","2.4","Final","Actual"
"21NC01WQ","3/29/82",11:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.9","Final","Actual"
"21NC01WQ","3/29/82",20:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","2.6","Final","Actual"
"21NC01WQ","6/1/83",09:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.52","Final","Actual"
"21NC01WQ","10/14/82",09:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.36","Final","Actual"
"21NC01WQ","11/2/82",08:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.47","Final","Actual"
"21NC01WQ","12/2/81",10:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.3","Final","Actual"
"21NC01WQ","1/3/83",10:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.33","Final","Actual"
"21NC01WQ","7/1/82",09:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.43","Final","Actual"
"21NC01WQ","12/22/82",14:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.53","Final","Actual"
"21NC01WQ","4/26/82",09:50:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.92","Final","Actual"
"21NC01WQ","2/19/82",09:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.36","Final","Actual"
"21NC01WQ","11/2/83",11:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.1","Final","Actual"
"21NC01WQ","11/9/83",09:46:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.63","Final","Actual"
"21NC01WQ","11/1/83",09:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.08","Final","Actual"
"21NC01WQ","3/10/83",10:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.14","Final","Actual"
"21NC01WQ","3/20/83",12:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.91","Final","Actual"
"21NC01WQ","11/1/83",09:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.36","Final","Actual"
"21NC01WQ","3/20/83",11:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.55","Final","Actual"
"21NC01WQ","3/20/83",17:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","1.2","Final","Actual"
"21NC01WQ","3/20/83",18:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.44","Final","Actual"
"21NC01WQ","3/20/83",18:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.28","Final","Actual"
"21NC01WQ","10/24/83",08:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.11","Final","Actual"
"21NC01WQ","10/13/83",19:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","1.1","Final","Actual"
"21NC01WQ","11/21/83",10:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","1.1","Final","Actual"
"21NC01WQ","3/1/83",06:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.56","Final","Actual"
"21NC01WQ","3/1/83",08:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.51","Final","Actual"
"21NC01WQ","2/14/83",10:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.25","Final","Actual"
"21NC01WQ","11/28/83",10:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.19","Final","Actual"
"21NC01WQ","2/14/83",13:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.27","Final","Actual"
"21NC01WQ","2/11/83",06:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.11","Final","Actual"
"21NC01WQ","2/10/83",22:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.45","Final","Actual"
"21NC01WQ","2/11/83",16:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.13","Final","Actual"
"21NC01WQ","2/6/83",12:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.47","Final","Actual"
"21NC01WQ","2/12/83",03:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.21","Final","Actual"
"21NC01WQ","2/11/83",06:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.26","Final","Actual"
"21NC01WQ","2/11/83",16:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.25","Final","Actual"
"21NC01WQ","2/11/83",01:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.39","Final","Actual"
"21NC01WQ","3/20/83",17:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.46","Final","Actual"
"21NC01WQ","10/26/83",12:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.37","Final","Actual"
"21NC01WQ","11/1/83",09:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.37","Final","Actual"
"21NC01WQ","2/1/82",10:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.21","Final","Actual"
"21NC01WQ","2/17/82",15:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.79","Final","Actual"
"21NC01WQ","9/15/83",13:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.12","Final","Actual"
"21NC01WQ","1/21/82",13:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.24","Final","Actual"
"21NC01WQ","3/29/82",11:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.11","Final","Actual"
"21NC01WQ","2/12/82",21:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.24","Final","Actual"
"21NC01WQ","5/18/82",12:46:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.27","Final","Actual"
"21NC01WQ","2/16/82",21:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.5","Final","Actual"
"21NC01WQ","4/17/82",19:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","2.2","Final","Actual"
"21NC01WQ","2/16/82",05:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.22","Final","Actual"
"21NC01WQ","4/30/82",08:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.2","Final","Actual"
"21NC01WQ","12/31/81",16:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.29","Final","Actual"
"21NC01WQ","10/14/82",09:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.2","Final","Actual"
"21NC01WQ","4/14/82",09:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.12","Final","Actual"
"21NC01WQ","5/20/83",08:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","1","Final","Actual"
"21NC01WQ","4/22/82",12:18:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.18","Final","Actual"
"21NC01WQ","4/20/82",15:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.54","Final","Actual"
"21NC01WQ","4/20/82",15:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.38","Final","Actual"
"21NC01WQ","12/29/81",05:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.26","Final","Actual"
"21NC01WQ","12/29/81",05:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.29","Final","Actual"
"21NC01WQ","4/9/82",05:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.28","Final","Actual"
"21NC01WQ","4/5/82",10:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.26","Final","Actual"
"21NC01WQ","2/16/82",23:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.64","Final","Actual"
"21NC01WQ","6/8/83",04:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.37","Final","Actual"
"21NC01WQ","5/17/83",08:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.22","Final","Actual"
"21NC01WQ","5/20/83",06:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.5","Final","Actual"
"21NC01WQ","12/25/81",01:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.17","Final","Actual"
"21NC01WQ","12/25/81",02:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.35","Final","Actual"
"21NC01WQ","6/6/83",13:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.13","Final","Actual"
"21NC01WQ","2/13/82",04:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.3","Final","Actual"
"21NC01WQ","2/13/82",05:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.42","Final","Actual"
"21NC01WQ","5/20/83",07:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","1.3","Final","Actual"
"21NC01WQ","5/26/83",14:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.29","Final","Actual"
"21NC01WQ","2/1/82",11:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.15","Final","Actual"
"21NC01WQ","5/20/83",08:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","1","Final","Actual"
"21NC01WQ","1/4/82",14:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.26","Final","Actual"
"21NC01WQ","5/14/83",22:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.5","Final","Actual"
"21NC01WQ","4/15/83",17:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","1.4","Final","Actual"
"21NC01WQ","4/15/83",17:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","1.5","Final","Actual"
"21NC01WQ","2/1/82",11:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.43","Final","Actual"
"21NC01WQ","5/25/83",16:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.18","Final","Actual"
"21NC01WQ","4/22/83",10:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.13","Final","Actual"
"21NC01WQ","5/4/83",00:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.25","Final","Actual"
"21NC01WQ","5/18/82",12:46:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.74","Final","Actual"
"21NC01WQ","7/1/82",09:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.38","Final","Actual"
"21NC01WQ","12/2/81",10:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Ammonia-nitrogen as N","Total","0.67","Final","Actual"
"21NC01WQ","12/15/81",04:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","2.3","Final","Actual"
"21NC01WQ","10/24/83",08:01:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","0.6","Final","Actual"
"21NC01WQ","3/24/83",09:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","1.1","Final","Actual"
"21NC01WQ","11/16/83",10:31:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Kjeldahl nitrogen","Total","0.6","Final","Actual"
"21NC01WQ","3/20/83",14:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.71","Final","Actual"
"21NC01WQ","3/20/83",12:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.45","Final","Actual"
"21NC01WQ","3/24/83",09:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.4","Final","Actual"
"21NC01WQ","3/20/83",18:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.43","Final","Actual"
"21NC01WQ","2/3/83",10:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.63","Final","Actual"
"21NC01WQ","11/9/81",13:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.23","Final","Actual"
"21NC01WQ","10/27/81",11:27:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.44","Final","Actual"
"21NC01WQ","11/28/83",10:31:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.56","Final","Actual"
"21NC01WQ","3/20/83",17:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.36","Final","Actual"
"21NC01WQ","2/25/83",11:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.62","Final","Actual"
"21NC01WQ","11/16/83",10:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.47","Final","Actual"
"21NC01WQ","11/21/83",10:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","1.2","Final","Actual"
"21NC01WQ","10/21/81",14:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.09","Final","Actual"
"21NC01WQ","10/24/83",08:01:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.62","Final","Actual"
"21NC01WQ","3/20/83",10:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.55","Final","Actual"
"21NC01WQ","11/21/83",10:31:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.66","Final","Actual"
"21NC01WQ","9/15/83",13:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.49","Final","Actual"
"21NC01WQ","10/14/83",10:31:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","0.58","Final","Actual"
"21NC01WQ","7/14/83",11:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Inorganic nitrogen (nitrate and nitrite) as N","Total","750","Final","Actual"
"21NC01WQ","11/8/83",16:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.12","Final","Actual"
"21NC01WQ","11/9/83",09:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.13","Final","Actual"
"21NC01WQ","11/11/83",11:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.48","Final","Actual"
"21NC01WQ","2/12/83",04:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.38","Final","Actual"
"21NC01WQ","10/21/83",11:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.21","Final","Actual"
"21NC01WQ","10/21/83",19:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.43","Final","Actual"
"21NC01WQ","7/22/83",19:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","1.6","Final","Actual"
"21NC01WQ","3/16/82",13:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.23","Final","Actual"
"21NC01WQ","6/28/82",11:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.24","Final","Actual"
"21NC01WQ","8/9/82",19:05:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","1.8","Final","Actual"
"21NC01WQ","8/9/82",19:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","1.6","Final","Actual"
"21NC01WQ","8/1/83",19:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.56","Final","Actual"
"21NC01WQ","10/3/83",21:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.19","Final","Actual"
"21NC01WQ","11/10/83",23:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.12","Final","Actual"
"21NC01WQ","11/25/83",01:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.47","Final","Actual"
"21NC01WQ","11/4/83",10:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.13","Final","Actual"
"21NC01WQ","3/1/83",05:45:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.45","Final","Actual"
"21NC01WQ","10/13/83",20:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.76","Final","Actual"
"21NC01WQ","10/10/83",13:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.16","Final","Actual"
"21NC01WQ","6/30/82",20:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","1.6","Final","Actual"
"21NC01WQ","11/25/83",01:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.63","Final","Actual"
"21NC01WQ","3/20/83",17:30:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","1.4","Final","Actual"
"21NC01WQ","3/20/83",18:00:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.64","Final","Actual"
"21NC01WQ","10/23/83",14:15:00,NA,NA,"21NC01WQ-J1280000",NA,NA,"Phosphate-phosphorus as P","Total","0.8","Final","Actual"
