"OrganizationIdentifier","ActivityStartDate","ActivityStartTime.Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC","4/25/17","3:35:00","USGS-0208675009","Storm","Stable, high stage","Phosphorus","Total","0.282","mg/l as P","Accepted","Actual"
"USGS-NC","9/27/10","3:45:00","USGS-02086849","Storm","Rising stage","Phosphorus","Total","0.314","mg/l as P","Accepted","Actual"
"USGS-NC","6/14/06","14:30:00","USGS-02086849","Storm","Peak stage","Phosphorus","Total","0.36","mg/l as P","Accepted","Actual"
"USGS-NC","1/23/17","7:30:00","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.371","mg/l as P","Accepted","Actual"
"USGS-NC","3/2/07","8:45:00","USGS-02086849","Storm","Falling stage","Phosphorus","Total","0.4","mg/l as P","Accepted","Actual"
"USGS-NC","7/22/85","14:15:00","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","0.43","mg/l as P","Historical","Actual"
"USGS-NC","6/17/17","15:32:00","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.46","mg/l as P","Accepted","Actual"
"USGS-NC","10/24/83","8:00:00","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","0.53","mg/l as P","Historical","Actual"
"USGS-NC","10/23/17","22:25:00","USGS-0208675009","Storm","Peak stage","Phosphorus","Total","0.554","mg/l as P","Accepted","Actual"
"USGS-NC","7/8/11","16:15:00","USGS-02086849","Storm","Rising stage","Phosphorus","Total","0.654","mg/l as P","Accepted","Actual"
"USGS-NC","1/3/85","9:45:00","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","0.75","mg/l as P","Historical","Actual"
"USGS-NC","3/14/84","12:10:00","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","0.76","mg/l as P","Historical","Actual"
"USGS-NC","4/21/92","15:30:00","USGS-02086849","Storm","Peak stage","Phosphorus","Total","0.79","mg/l as P","Historical","Actual"
"USGS-NC","6/18/85","9:40:00","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","1","mg/l as P","Historical","Actual"
"USGS-NC","4/9/84","10:30:00","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","1.4","mg/l as P","Historical","Actual"
"USGS-NC","2/22/83","10:05:00","USGS-02086849","Routine sample","Not determined","Phosphorus","Total","17","mg/l as P","Historical","Actual"
"USGS-NC","2/19/86","15:50:00","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","1.9","mg/l as P","Historical","Actual"
"USGS-NC","1/24/84","9:15:00","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","2.5","mg/l as P","Historical","Actual"
"USGS-NC","3/25/86","9:45:00","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","2.8","mg/l as P","Historical","Actual"
"USGS-NC","11/29/83","10:45:00","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","3.3","mg/l as P","Historical","Actual"
"USGS-NC","3/25/87","10:30:00","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Total","3.4","mg/l as P","Historical","Actual"
"USGS-NC","1/8/87","8:55:00","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","4","mg/l as P","Historical","Actual"
"USGS-NC","8/23/84","10:45:00","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","4.4","mg/l as P","Historical","Actual"
"USGS-NC","10/23/84","14:05:00","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","4.5","mg/l as P","Historical","Actual"
"USGS-NC","1/22/86","9:35:00","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","4.8","mg/l as P","Historical","Actual"
"USGS-NC","6/5/84","10:30:00","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","5.3","mg/l as P","Historical","Actual"
"USGS-NC","9/24/84","9:15:00","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.6","mg/l as P","Historical","Actual"
"USGS-NC","8/1/83","9:05:00","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","5.9","mg/l as P","Historical","Actual"
"USGS-NC","9/26/83","8:30:00","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","6","mg/l as P","Historical","Actual"
"USGS-NC","4/21/86","10:10:00","USGS-02086849","Routine sample","Falling stage","Phosphorus","Total","6.6","mg/l as P","Historical","Actual"
"USGS-NC","5/20/93","10:00:00","USGS-02086849","Routine sample","Stable, normal stage","Phosphorus","Dissolved","0.06","mg/l as P","Historical","Actual"
"USGS-NC","2/23/84","13:15:00","USGS-02086849","Flood","Rising stage","Phosphorus","Dissolved","0.06","mg/l as P","Historical","Actual"
"USGS-NC","3/18/83","10:05:00","USGS-02086849","Routine sample","Not determined","Phosphorus","Dissolved","0.07","mg/l as P","Historical","Actual"
"USGS-NC","4/21/92","15:30:00","USGS-02086849","Storm","Peak stage","Phosphorus","Dissolved","0.6","mg/l as P","Historical","Actual"
"USGS-NC","3/25/86","9:45:00","USGS-02086849","Routine sample","Falling stage","Phosphorus","Dissolved","2.4","mg/l as P","Historical","Actual"
"USGS-NC","1/22/86","9:35:00","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Dissolved","4.5","mg/l as P","Historical","Actual"
"USGS-NC","9/24/84","9:15:00","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Dissolved","5.5","mg/l as P","Historical","Actual"
"USGS-NC","3/27/18","12:15:00","USGS-02086849","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.016","mg/l as P","Accepted","Actual"
"USGS-NC","3/27/18","11:00:00","USGS-360211078513701","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.016","mg/l as P","Accepted","Actual"
"USGS-NC","10/26/11","10:35:00","USGS-0208675010","Routine sample","Stable, low stage","Orthophosphate","Dissolved","0.025","mg/l as P","Preliminary","Actual"
"USGS-NC","3/30/12","12:10:00","USGS-0208675010","Routine sample","Stable, low stage","Orthophosphate","Dissolved","0.026","mg/l as P","Preliminary","Actual"
"USGS-NC","4/23/14","10:30:00","USGS-02086849","Routine sample","Not determined","Orthophosphate","Dissolved","0.027","mg/l as P","Accepted","Actual"
"USGS-NC","4/25/12","12:30:00","USGS-0208675010","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.03","mg/l as P","Preliminary","Actual"
"USGS-NC","7/12/16","13:10:00","USGS-360226078512801","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.032","mg/l as P","Accepted","Actual"
"USGS-NC","6/14/06","14:30:00","USGS-02086849","Storm","Peak stage","Orthophosphate","Dissolved","0.032","mg/l as P","Accepted","Actual"
"USGS-NC","7/12/16","15:20:00","USGS-02086841","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.035","mg/l as P","Accepted","Actual"
"USGS-NC","4/29/14","12:00:00","USGS-02086849","Routine sample","Not determined","Orthophosphate","Dissolved","0.036","mg/l as P","Accepted","Actual"
"USGS-NC","7/12/16","11:00:00","USGS-02086835","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.037","mg/l as P","Accepted","Actual"
"USGS-NC","7/12/16","11:45:00","USGS-02086837","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.037","mg/l as P","Accepted","Actual"
"USGS-NC","7/12/16","9:45:00","USGS-0208682450","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.039","mg/l as P","Accepted","Actual"
"USGS-NC","6/3/14","9:00:00","USGS-02086849","Routine sample","Not determined","Orthophosphate","Dissolved","0.044","mg/l as P","Accepted","Actual"
"USGS-NC","5/6/14","15:20:00","USGS-02086849","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.045","mg/l as P","Accepted","Actual"
"USGS-NC","5/20/93","10:00:00","USGS-02086849","Routine sample","Stable, normal stage","Orthophosphate","Dissolved","0.05","mg/l as P","Historical","Actual"
"USGS-NC","5/20/14","14:00:00","USGS-02086849","Routine sample","Not determined","Orthophosphate","Dissolved","0.05","mg/l as P","Accepted","Actual"
"USGS-NC","3/18/83","10:05:00","USGS-02086849","Routine sample","Not determined","Orthophosphate","Dissolved","0.06","mg/l as P","Historical","Actual"
"USGS-NC","9/6/08","12:45:00","USGS-02086849","Storm","Falling stage","Orthophosphate","Dissolved","0.077","mg/l as P","Accepted","Actual"
"USGS-NC","3/2/07","8:45:00","USGS-02086849","Storm","Falling stage","Orthophosphate","Dissolved","0.078","mg/l as P","Accepted","Actual"
"USGS-NC","9/27/10","3:45:00","USGS-02086849","Storm","Rising stage","Orthophosphate","Dissolved","0.081","mg/l as P","Accepted","Actual"
"USGS-NC","4/8/14","13:30:00","USGS-02086849","Routine sample","Stable, high stage","Orthophosphate","Dissolved","0.085","mg/l as P","Accepted","Actual"
"USGS-NC","2/23/84","13:15:00","USGS-02086849","Flood","Rising stage","Orthophosphate","Dissolved","0.09","mg/l as P","Historical","Actual"
"USGS-NC","7/8/11","16:15:00","USGS-02086849","Storm","Rising stage","Orthophosphate","Dissolved","0.303","mg/l as P","Accepted","Actual"
"USGS-NC","4/21/92","15:30:00","USGS-02086849","Storm","Peak stage","Orthophosphate","Dissolved","0.56","mg/l as P","Historical","Actual"
"USGS-NC","3/25/86","9:45:00","USGS-02086849","Routine sample","Falling stage","Orthophosphate","Dissolved","2.4","mg/l as P","Historical","Actual"
"USGS-NC","1/22/86","9:35:00","USGS-02086849","Routine sample","Stable, low stage","Orthophosphate","Dissolved","4.3","mg/l as P","Historical","Actual"
"USGS-NC","9/24/84","9:15:00","USGS-02086849","Routine sample","Stable, low stage","Orthophosphate","Dissolved","5","mg/l as P","Historical","Actual"
"USGS-NC","7/12/16","9:45:00","USGS-0208682450","Routine sample","Stable, normal stage","Hardness, Ca, Mg",NA,"101","mg/l CaCO3","Accepted","Actual"
"USGS-NC","2/23/84","13:15:00","USGS-02086849","Flood","Rising stage","Hardness, Ca, Mg",NA,"14.7","mg/l CaCO3","Historical","Actual"
"USGS-NC","3/18/83","10:05:00","USGS-02086849","Routine sample","Not determined","Hardness, Ca, Mg",NA,"16.1","mg/l CaCO3","Historical","Actual"
"USGS-NC","9/6/08","12:45:00","USGS-02086849","Storm","Falling stage","Hardness, Ca, Mg",NA,"16.6","mg/l CaCO3","Accepted","Actual"
"USGS-NC","9/27/10","3:45:00","USGS-02086849","Storm","Rising stage","Hardness, Ca, Mg",NA,"19.1","mg/l CaCO3","Accepted","Actual"
"USGS-NC","6/14/06","14:30:00","USGS-02086849","Storm","Peak stage","Hardness, Ca, Mg",NA,"21.4","mg/l CaCO3","Accepted","Actual"
"USGS-NC","1/3/85","9:45:00","USGS-02086849","Routine sample","Stable, normal stage","Hardness, Ca, Mg",NA,"22.2","mg/l CaCO3","Historical","Actual"
"USGS-NC","3/2/07","8:45:00","USGS-02086849","Storm","Falling stage","Hardness, Ca, Mg",NA,"26.3","mg/l CaCO3","Accepted","Actual"
"USGS-NC","10/24/83","8:00:00","USGS-02086849","Routine sample","Falling stage","Hardness, Ca, Mg",NA,"26.4","mg/l CaCO3","Historical","Actual"
"USGS-NC","7/8/11","16:15:00","USGS-02086849","Storm","Rising stage","Hardness, Ca, Mg",NA,"35.9","mg/l CaCO3","Accepted","Actual"
"USGS-NC","7/22/85","14:15:00","USGS-02086849","Routine sample","Rising stage","Hardness, Ca, Mg",NA,"40.2","mg/l CaCO3","Historical","Actual"
"USGS-NC","5/20/93","10:00:00","USGS-02086849","Routine sample","Stable, normal stage","Hardness, Ca, Mg",NA,"41.5","mg/l CaCO3","Historical","Actual"
"USGS-NC","6/18/85","9:40:00","USGS-02086849","Routine sample","Stable, low stage","Hardness, Ca, Mg",NA,"42.7","mg/l CaCO3","Historical","Actual"
"USGS-NC","8/1/83","9:05:00","USGS-02086849","Routine sample","Stable, low stage","Hardness, Ca, Mg",NA,"43.9","mg/l CaCO3","Historical","Actual"
"USGS-NC","10/23/84","14:05:00","USGS-02086849","Routine sample","Stable, low stage","Hardness, Ca, Mg",NA,"45.6","mg/l CaCO3","Historical","Actual"
"USGS-NC","9/26/83","8:30:00","USGS-02086849","Routine sample","Stable, low stage","Hardness, Ca, Mg",NA,"46.8","mg/l CaCO3","Historical","Actual"
"USGS-NC","9/24/84","9:15:00","USGS-02086849","Routine sample","Stable, low stage","Hardness, Ca, Mg",NA,"47.7","mg/l CaCO3","Historical","Actual"
"USGS-NC","8/23/84","10:45:00","USGS-02086849","Routine sample","Rising stage","Hardness, Ca, Mg",NA,"51","mg/l CaCO3","Historical","Actual"
"USGS-NC","1/22/86","9:35:00","USGS-02086849","Routine sample","Stable, low stage","Hardness, Ca, Mg",NA,"51.4","mg/l CaCO3","Historical","Actual"
"USGS-NC","4/8/14","13:30:00","USGS-02086849","Routine sample","Stable, high stage","Hardness, Ca, Mg",NA,"52.5","mg/l CaCO3","Accepted","Actual"
"USGS-NC","2/19/86","15:50:00","USGS-02086849","Routine sample","Rising stage","Hardness, Ca, Mg",NA,"58","mg/l CaCO3","Historical","Actual"
"USGS-NC","6/5/84","10:30:00","USGS-02086849","Routine sample","Falling stage","Hardness, Ca, Mg",NA,"58","mg/l CaCO3","Historical","Actual"
"USGS-NC","3/25/87","10:30:00","USGS-02086849","Routine sample","Stable, normal stage","Hardness, Ca, Mg",NA,"61.4","mg/l CaCO3","Historical","Actual"
"USGS-NC","6/3/14","9:00:00","USGS-02086849","Routine sample","Not determined","Hardness, Ca, Mg",NA,"61.7","mg/l CaCO3","Accepted","Actual"
"USGS-NC","3/25/86","9:45:00","USGS-02086849","Routine sample","Falling stage","Hardness, Ca, Mg",NA,"61.8","mg/l CaCO3","Historical","Actual"
"USGS-NC","1/24/84","9:15:00","USGS-02086849","Routine sample","Stable, normal stage","Hardness, Ca, Mg",NA,"62.2","mg/l CaCO3","Historical","Actual"
"USGS-NC","11/29/83","10:45:00","USGS-02086849","Routine sample","Stable, low stage","Hardness, Ca, Mg",NA,"64.3","mg/l CaCO3","Historical","Actual"
"USGS-NC","3/27/18","11:00:00","USGS-360211078513701","Routine sample","Stable, normal stage","Hardness, Ca, Mg",NA,"65.1","mg/l CaCO3","Accepted","Actual"
"USGS-NC","4/21/86","10:10:00","USGS-02086849","Routine sample","Falling stage","Hardness, Ca, Mg",NA,"65.1","mg/l CaCO3","Historical","Actual"
"USGS-NC","3/27/18","12:15:00","USGS-02086849","Routine sample","Stable, normal stage","Hardness, Ca, Mg",NA,"69.1","mg/l CaCO3","Accepted","Actual"
"USGS-NC","2/22/83","10:05:00","USGS-02086849","Routine sample","Not determined","Hardness, Ca, Mg",NA,"70.1","mg/l CaCO3","Historical","Actual"
"USGS-NC","4/21/92","15:30:00","USGS-02086849","Storm","Peak stage","Hardness, Ca, Mg",NA,"74.2","mg/l CaCO3","Historical","Actual"
"USGS-NC","5/20/14","14:00:00","USGS-02086849","Routine sample","Not determined","Hardness, Ca, Mg",NA,"74.9","mg/l CaCO3","Accepted","Actual"
"USGS-NC","7/12/16","15:20:00","USGS-02086841","Routine sample","Stable, normal stage","Hardness, Ca, Mg",NA,"75.5","mg/l CaCO3","Accepted","Actual"
"USGS-NC","7/12/16","11:00:00","USGS-02086835","Routine sample","Stable, normal stage","Hardness, Ca, Mg",NA,"78.5","mg/l CaCO3","Accepted","Actual"
"USGS-NC","5/6/14","15:20:00","USGS-02086849","Routine sample","Stable, normal stage","Hardness, Ca, Mg",NA,"79.4","mg/l CaCO3","Accepted","Actual"
"USGS-NC","7/12/16","11:45:00","USGS-02086837","Routine sample","Stable, normal stage","Hardness, Ca, Mg",NA,"79.5","mg/l CaCO3","Accepted","Actual"
"USGS-NC","8/20/86","13:40:00","USGS-02086849","Routine sample","Rising stage","Hardness, Ca, Mg",NA,"7.96","mg/l CaCO3","Historical","Actual"
"USGS-NC","4/29/14","12:00:00","USGS-02086849","Routine sample","Not determined","Hardness, Ca, Mg",NA,"80","mg/l CaCO3","Accepted","Actual"
"USGS-NC","4/23/14","10:30:00","USGS-02086849","Routine sample","Not determined","Hardness, Ca, Mg",NA,"80.7","mg/l CaCO3","Accepted","Actual"
"USGS-NC","3/27/18","11:00:00","USGS-360211078513701","Routine sample","Stable, normal stage","Hardness, non-carbonate","Dissolved","11","mg/l CaCO3","Accepted","Actual"
"USGS-NC","3/27/18","12:15:00","USGS-02086849","Routine sample","Stable, normal stage","Hardness, non-carbonate","Dissolved","15","mg/l CaCO3","Accepted","Actual"
"USGS-NC","7/8/11","16:15:00","USGS-02086849","Storm","Rising stage","Hardness, non-carbonate","Dissolved","6","mg/l CaCO3","Accepted","Actual"
"USGS-NC","4/8/14","13:30:00","USGS-02086849","Routine sample","Stable, high stage","Turbidity severity (choice list)",NA,"Serious","code","Accepted","Actual"
"USGS-NC","10/26/11","10:35:00","USGS-0208675010","Routine sample","Stable, low stage","Gage height",NA,"0.09","m","Preliminary","Actual"
"USGS-NC","3/30/12","12:10:00","USGS-0208675010","Routine sample","Stable, low stage","Gage height",NA,"0.11","m","Preliminary","Actual"
"USGS-NC","2/23/12","11:45:00","USGS-0208675010","Routine sample","Falling stage","Gage height",NA,"0.15","m","Preliminary","Actual"
"USGS-NC","1/8/87","8:55:00","USGS-02086849","Routine sample","Falling stage","Gage height",NA,"0.28","m","Historical","Actual"
"USGS-NC","3/25/87","10:30:00","USGS-02086849","Routine sample","Stable, normal stage","Gage height",NA,"0.3","m","Historical","Actual"
"USGS-NC","6/3/14","9:00:00","USGS-02086849","Routine sample","Not determined","Gage height",NA,"0.45","m","Accepted","Actual"
"USGS-NC","5/19/09","11:30:00","USGS-02086849","Routine sample","Not determined","Gage height",NA,"0.48","m","Accepted","Actual"
"USGS-NC","11/18/92","15:15:00","USGS-02086849","Routine sample","Stable, normal stage","Gage height",NA,"0.49","m","Historical","Actual"
"USGS-NC","5/6/14","15:20:00","USGS-02086849","Routine sample","Stable, normal stage","Gage height",NA,"0.5","m","Accepted","Actual"
"USGS-NC","4/29/14","12:00:00","USGS-02086849","Routine sample","Not determined","Gage height",NA,"0.51","m","Accepted","Actual"
"USGS-NC","4/23/14","10:30:00","USGS-02086849","Routine sample","Not determined","Gage height",NA,"0.52","m","Accepted","Actual"
"USGS-NC","4/21/86","10:10:00","USGS-02086849","Routine sample","Falling stage","Gage height",NA,"0.52","m","Historical","Actual"
"USGS-NC","3/27/18","12:15:00","USGS-02086849","Routine sample","Stable, normal stage","Gage height",NA,"0.54","m","Accepted","Actual"
"USGS-NC","5/26/93","12:00:00","USGS-02086849","Storm","Rising stage","Gage height",NA,"0.55","m","Historical","Actual"
"USGS-NC","5/20/93","10:00:00","USGS-02086849","Routine sample","Stable, normal stage","Gage height",NA,"0.55","m","Historical","Actual"
"USGS-NC","4/8/14","13:30:00","USGS-02086849","Routine sample","Stable, high stage","Gage height",NA,"0.65","m","Accepted","Actual"
"USGS-NC","5/20/14","14:00:00","USGS-02086849","Routine sample","Not determined","Gage height",NA,"0.88","m","Accepted","Actual"
"USGS-NC","7/8/11","16:15:00","USGS-02086849","Storm","Rising stage","Gage height",NA,"1.44","m","Accepted","Actual"
"USGS-NC","3/2/07","8:45:00","USGS-02086849","Storm","Falling stage","Gage height",NA,"1.88","m","Accepted","Actual"
"USGS-NC","6/14/06","14:30:00","USGS-02086849","Storm","Peak stage","Gage height",NA,"2.15","m","Accepted","Actual"
"USGS-NC","8/20/86","13:40:00","USGS-02086849","Routine sample","Rising stage","Gage height",NA,"3.28","m","Historical","Actual"
"USGS-NC","9/6/08","12:45:00","USGS-02086849","Storm","Falling stage","Gage height",NA,"3.62","m","Accepted","Actual"
"USGS-NC","10/26/11","10:35:00","USGS-0208675010","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"0.01","m3/sec","Preliminary","Actual"
"USGS-NC","3/30/12","12:10:00","USGS-0208675010","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"0.03","m3/sec","Preliminary","Actual"
"USGS-NC","9/26/83","8:30:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"0.09","m3/sec","Historical","Actual"
"USGS-NC","8/1/83","9:05:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"0.12","m3/sec","Historical","Actual"
"USGS-NC","9/24/84","9:15:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"0.13","m3/sec","Historical","Actual"
"USGS-NC","6/18/85","9:40:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"0.14","m3/sec","Historical","Actual"
"USGS-NC","2/23/12","11:45:00","USGS-0208675010","Routine sample","Falling stage","Stream flow, instantaneous",NA,"0.2","m3/sec","Preliminary","Actual"
"USGS-NC","12/21/88","10:00:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"0.24","m3/sec","Historical","Actual"
"USGS-NC","1/22/86","9:35:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"0.25","m3/sec","Historical","Actual"
"USGS-NC","8/18/83","13:30:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"0.27","m3/sec","Historical","Actual"
"USGS-NC","8/23/84","10:45:00","USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous",NA,"0.28","m3/sec","Historical","Actual"
"USGS-NC","6/3/14","9:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"0.31","m3/sec","Accepted","Actual"
"USGS-NC","6/5/84","10:30:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"0.34","m3/sec","Historical","Actual"
"USGS-NC","11/29/83","10:45:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"0.34","m3/sec","Historical","Actual"
"USGS-NC","1/8/87","8:55:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"0.34","m3/sec","Historical","Actual"
"USGS-NC","7/22/85","14:15:00","USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous",NA,"0.34","m3/sec","Historical","Actual"
"USGS-NC","2/22/83","10:05:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"0.37","m3/sec","Historical","Actual"
"USGS-NC","3/25/87","10:30:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"0.37","m3/sec","Historical","Actual"
"USGS-NC","8/23/94","14:45:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"0.4","m3/sec","Historical","Actual"
"USGS-NC","10/23/84","14:05:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"0.42","m3/sec","Historical","Actual"
"USGS-NC","5/19/09","11:30:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"0.42","m3/sec","Accepted","Actual"
"USGS-NC","11/18/92","15:15:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"0.42","m3/sec","Historical","Actual"
"USGS-NC","1/5/84","10:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"0.42","m3/sec","Historical","Actual"
"USGS-NC","4/28/93","16:00:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"0.45","m3/sec","Historical","Actual"
"USGS-NC","3/25/86","9:45:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"0.45","m3/sec","Historical","Actual"
"USGS-NC","2/2/84","15:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"0.54","m3/sec","Historical","Actual"
"USGS-NC","5/6/14","15:20:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"0.59","m3/sec","Accepted","Actual"
"USGS-NC","1/24/84","9:15:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"0.59","m3/sec","Historical","Actual"
"USGS-NC","4/29/14","12:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"0.65","m3/sec","Accepted","Actual"
"USGS-NC","2/21/84","15:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"0.68","m3/sec","Historical","Actual"
"USGS-NC","2/19/86","15:50:00","USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous",NA,"0.74","m3/sec","Historical","Actual"
"USGS-NC","5/10/84","15:30:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"0.74","m3/sec","Historical","Actual"
"USGS-NC","4/23/14","10:30:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"0.76","m3/sec","Accepted","Actual"
"USGS-NC","4/9/84","10:30:00","USGS-02086849","Routine sample","Stable, low stage","Stream flow, instantaneous",NA,"0.79","m3/sec","Historical","Actual"
"USGS-NC","5/20/93","10:00:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"0.85","m3/sec","Historical","Actual"
"USGS-NC","4/6/89","12:40:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"10","m3/sec","Historical","Actual"
"USGS-NC","12/12/82","12:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"12","m3/sec","Historical","Actual"
"USGS-NC","7/8/11","16:15:00","USGS-02086849","Storm","Rising stage","Stream flow, instantaneous",NA,"14","m3/sec","Accepted","Actual"
"USGS-NC","4/21/92","15:30:00","USGS-02086849","Storm","Peak stage","Stream flow, instantaneous",NA,"1.4","m3/sec","Historical","Actual"
"USGS-NC","3/14/84","12:10:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"1.8","m3/sec","Historical","Actual"
"USGS-NC","5/26/93","12:00:00","USGS-02086849","Storm","Rising stage","Stream flow, instantaneous",NA,"2","m3/sec","Historical","Actual"
"USGS-NC","10/24/83","8:00:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"2.2","m3/sec","Historical","Actual"
"USGS-NC","1/3/85","9:45:00","USGS-02086849","Routine sample","Stable, normal stage","Stream flow, instantaneous",NA,"23","m3/sec","Historical","Actual"
"USGS-NC","4/8/14","13:30:00","USGS-02086849","Routine sample","Stable, high stage","Stream flow, instantaneous",NA,"2.6","m3/sec","Accepted","Actual"
"USGS-NC","3/2/07","8:45:00","USGS-02086849","Storm","Falling stage","Stream flow, instantaneous",NA,"27","m3/sec","Accepted","Actual"
"USGS-NC","4/21/86","10:10:00","USGS-02086849","Routine sample","Falling stage","Stream flow, instantaneous",NA,"2.9","m3/sec","Historical","Actual"
"USGS-NC","6/14/06","14:30:00","USGS-02086849","Storm","Peak stage","Stream flow, instantaneous",NA,"33","m3/sec","Accepted","Actual"
"USGS-NC","2/23/84","13:15:00","USGS-02086849","Flood","Rising stage","Stream flow, instantaneous",NA,"52","m3/sec","Historical","Actual"
"USGS-NC","3/18/83","10:05:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"53","m3/sec","Historical","Actual"
"USGS-NC","5/20/14","14:00:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"5.8","m3/sec","Accepted","Estimated"
"USGS-NC","3/18/83","17:25:00","USGS-02086849","Routine sample","Not determined","Stream flow, instantaneous",NA,"61","m3/sec","Historical","Actual"
"USGS-NC","8/20/86","13:40:00","USGS-02086849","Routine sample","Rising stage","Stream flow, instantaneous",NA,"68","m3/sec","Historical","Actual"
"USGS-NC","9/27/10","3:45:00","USGS-02086849","Storm","Rising stage","Stream flow, instantaneous",NA,"9","m3/sec","Accepted","Actual"
"USGS-NC","6/3/14","9:10:00","USGS-02086849","Routine sample","Not determined","UV 254","Dissolved","0.182","units/cm","Preliminary","Actual"
