"agency","site_no","Date","HydrologicEvent","SampleFraction","Units","Nitrate","Nitrogen","Phosphorus","Temperature","month","agency_cd.x","site_no.x","Discharge.G","D.Approval.Code.G","Gage.Height.G","GH.Approval.Code.G","agency_cd.y","site_no.y","Discharge.C","D.Approval.Code.C","Gage.Height.C","GH.Approval.Code.C"
"USGS","02086849",2014-05-06,"Routine sample","Dissolved","mg/l as N",2.82,NA,NA,NA,"May","USGS","02086849",17.8,"A",1.61,"A","USGS","0208675010",0.94,"A",0.38,"A"
"USGS","02086849",2014-05-06,"Routine sample","Total","mg/l",NA,3.71,NA,NA,"May","USGS","02086849",17.8,"A",1.61,"A","USGS","0208675010",0.94,"A",0.38,"A"
"USGS","02086849",2014-05-06,"Routine sample","Total","mg/l as P",NA,NA,0.107,NA,"May","USGS","02086849",17.8,"A",1.61,"A","USGS","0208675010",0.94,"A",0.38,"A"
"USGS","02086849",2014-05-06,"Routine sample",NA,"deg C",NA,NA,NA,21.3,"May","USGS","02086849",17.8,"A",1.61,"A","USGS","0208675010",0.94,"A",0.38,"A"
"USGS","02086849",2014-05-12,"Routine sample","Dissolved","mg/l as N",2.57,NA,NA,NA,"May","USGS","02086849",16.1,"A",1.58,"A","USGS","0208675010",0.45,"A",0.35,"A"
"USGS","02086849",2014-05-12,"Routine sample","Total","mg/l",NA,3.3,NA,NA,"May","USGS","02086849",16.1,"A",1.58,"A","USGS","0208675010",0.45,"A",0.35,"A"
"USGS","02086849",2014-05-12,"Routine sample","Total","mg/l as P",NA,NA,0.124,NA,"May","USGS","02086849",16.1,"A",1.58,"A","USGS","0208675010",0.45,"A",0.35,"A"
"USGS","02086849",2014-05-12,"Routine sample",NA,"deg C",NA,NA,NA,25.4,"May","USGS","02086849",16.1,"A",1.58,"A","USGS","0208675010",0.45,"A",0.35,"A"
"USGS","02086849",2014-05-20,"Routine sample","Dissolved","mg/l as N",1.08,NA,NA,NA,"May","USGS","02086849",16.8,"A e",2.91,"A","USGS","0208675010",1.12,"A",0.4,"A"
"USGS","02086849",2014-05-20,"Routine sample","Total","mg/l",NA,1.78,NA,NA,"May","USGS","02086849",16.8,"A e",2.91,"A","USGS","0208675010",1.12,"A",0.4,"A"
"USGS","02086849",2014-05-20,"Routine sample","Total","mg/l as P",NA,NA,0.109,NA,"May","USGS","02086849",16.8,"A e",2.91,"A","USGS","0208675010",1.12,"A",0.4,"A"
"USGS","02086849",2014-05-20,"Routine sample",NA,"deg C",NA,NA,NA,19.7,"May","USGS","02086849",16.8,"A e",2.91,"A","USGS","0208675010",1.12,"A",0.4,"A"
"USGS","02086849",2014-05-29,"Routine sample","Dissolved","mg/l as N",3.24,NA,NA,NA,"May","USGS","02086849",17.8,"A",1.58,"A","USGS","0208675010",0.36,"A",0.35,"A"
"USGS","02086849",2014-05-29,"Routine sample","Total","mg/l",NA,4.29,NA,NA,"May","USGS","02086849",17.8,"A",1.58,"A","USGS","0208675010",0.36,"A",0.35,"A"
"USGS","02086849",2014-05-29,"Routine sample","Total","mg/l as P",NA,NA,0.081,NA,"May","USGS","02086849",17.8,"A",1.58,"A","USGS","0208675010",0.36,"A",0.35,"A"
"USGS","02086849",2014-05-29,"Routine sample",NA,"deg C",NA,NA,NA,21.8,"May","USGS","02086849",17.8,"A",1.58,"A","USGS","0208675010",0.36,"A",0.35,"A"
"USGS","02086849",2014-06-03,"Routine sample","Dissolved","mg/l as N",1.47,NA,NA,NA,"Jun","USGS","02086849",22.7,"A",1.6,"A","USGS","0208675010",2.03,"A",0.39,"A"
"USGS","02086849",2014-06-03,"Routine sample","Total","mg/l",NA,2.26,NA,NA,"Jun","USGS","02086849",22.7,"A",1.6,"A","USGS","0208675010",2.03,"A",0.39,"A"
"USGS","02086849",2014-06-03,"Routine sample","Total","mg/l as P",NA,NA,0.08,NA,"Jun","USGS","02086849",22.7,"A",1.6,"A","USGS","0208675010",2.03,"A",0.39,"A"
"USGS","02086849",2014-06-03,"Routine sample",NA,"deg C",NA,NA,NA,19.6,"Jun","USGS","02086849",22.7,"A",1.6,"A","USGS","0208675010",2.03,"A",0.39,"A"
"USGS","02086849",2014-06-10,"Routine sample","Dissolved","mg/l as N",2.31,NA,NA,NA,"Jun","USGS","02086849",21,"A",1.61,"A","USGS","0208675010",1.77,"A",0.42,"A"
"USGS","02086849",2014-06-10,"Routine sample","Total","mg/l",NA,3.13,NA,NA,"Jun","USGS","02086849",21,"A",1.61,"A","USGS","0208675010",1.77,"A",0.42,"A"
"USGS","02086849",2014-06-10,"Routine sample","Total","mg/l as P",NA,NA,0.132,NA,"Jun","USGS","02086849",21,"A",1.61,"A","USGS","0208675010",1.77,"A",0.42,"A"
"USGS","02086849",2014-06-10,"Routine sample",NA,"deg C",NA,NA,NA,23.1,"Jun","USGS","02086849",21,"A",1.61,"A","USGS","0208675010",1.77,"A",0.42,"A"
"USGS","02086849",2018-03-27,"Routine sample","Dissolved","mg/l",NA,2.75,NA,NA,"Mar","USGS","02086849",41.2,"A",1.76,"A","USGS","0208675010",3.11,"A",0.48,"A"
"USGS","02086849",2018-03-27,"Routine sample","Dissolved","mg/l as N",2.17,NA,NA,NA,"Mar","USGS","02086849",41.2,"A",1.76,"A","USGS","0208675010",3.11,"A",0.48,"A"
"USGS","02086849",2018-03-27,"Routine sample",NA,"deg C",NA,NA,NA,10.4,"Mar","USGS","02086849",41.2,"A",1.76,"A","USGS","0208675010",3.11,"A",0.48,"A"
"USGS","360211078513701",2016-07-12,"Routine sample","Dissolved","mg/l as N",0.266,NA,NA,NA,"Jul","USGS","02086849",72.9,"A",1.94,"A","USGS","0208675010",35.1,"A",0.64,"A"
"USGS","360211078513701",2016-07-12,"Routine sample","Total","mg/l",NA,0.88,NA,NA,"Jul","USGS","02086849",72.9,"A",1.94,"A","USGS","0208675010",35.1,"A",0.64,"A"
"USGS","360211078513701",2016-07-12,"Routine sample","Total","mg/l as P",NA,NA,0.11,NA,"Jul","USGS","02086849",72.9,"A",1.94,"A","USGS","0208675010",35.1,"A",0.64,"A"
"USGS","360211078513701",2016-07-12,"Routine sample",NA,"deg C",NA,NA,NA,25.5,"Jul","USGS","02086849",72.9,"A",1.94,"A","USGS","0208675010",35.1,"A",0.64,"A"
"USGS","360211078513701",2018-03-27,"Routine sample","Dissolved","mg/l",NA,0.94,NA,NA,"Mar","USGS","02086849",41.2,"A",1.76,"A","USGS","0208675010",3.11,"A",0.48,"A"
"USGS","360211078513701",2018-03-27,"Routine sample","Dissolved","mg/l as N",0.407,NA,NA,NA,"Mar","USGS","02086849",41.2,"A",1.76,"A","USGS","0208675010",3.11,"A",0.48,"A"
"USGS","360211078513701",2018-03-27,"Routine sample",NA,"deg C",NA,NA,NA,7,"Mar","USGS","02086849",41.2,"A",1.76,"A","USGS","0208675010",3.11,"A",0.48,"A"
"USGS","360226078512801",2016-07-12,"Routine sample","Dissolved","mg/l as N",0.157,NA,NA,NA,"Jul","USGS","02086849",72.9,"A",1.94,"A","USGS","0208675010",35.1,"A",0.64,"A"
"USGS","360226078512801",2016-07-12,"Routine sample","Total","mg/l",NA,0.78,NA,NA,"Jul","USGS","02086849",72.9,"A",1.94,"A","USGS","0208675010",35.1,"A",0.64,"A"
"USGS","360226078512801",2016-07-12,"Routine sample","Total","mg/l as P",NA,NA,0.088,NA,"Jul","USGS","02086849",72.9,"A",1.94,"A","USGS","0208675010",35.1,"A",0.64,"A"
"USGS","360226078512801",2016-07-12,"Routine sample",NA,"deg C",NA,NA,NA,25.7,"Jul","USGS","02086849",72.9,"A",1.94,"A","USGS","0208675010",35.1,"A",0.64,"A"
NA,NA,2008-01-01,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",29.8,"A",1.7,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-02,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",21.6,"A",1.62,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-03,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",18,"A",1.58,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-04,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",16.2,"A",1.55,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-05,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",14.4,"A",1.53,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-06,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",13.9,"A",1.52,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-07,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",14.1,"A",1.53,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-08,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",12.9,"A",1.51,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-09,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",13.5,"A",1.52,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-10,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",13.3,"A",1.51,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-11,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",14.2,"A",1.53,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-12,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",12.9,"A",1.51,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-13,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",12.3,"A",1.5,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-14,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",12.3,"A",1.5,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-15,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",12.2,"A",1.5,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-16,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",11.2,"A",1.48,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-17,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",40.3,"A",1.73,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-18,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",26.1,"A",1.67,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-19,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",21.5,"A",1.61,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-20,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",27.7,"A",1.68,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-21,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",16.3,"A",1.56,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-22,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",14.9,"A",1.54,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-23,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",16.2,"A",1.56,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-24,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",14.1,"A",1.53,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-25,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",13.1,"A",1.51,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-26,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",12.5,"A",1.5,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-27,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",12.6,"A",1.5,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-29,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",12.7,"A",1.51,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-30,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",14.6,"A",1.54,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-01-31,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",11.5,"A",1.48,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-01,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",107,"A",2.21,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-02,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",37.4,"A",1.78,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-03,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",23.4,"A",1.64,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-04,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",19.4,"A",1.6,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-05,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",15.7,"A",1.55,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-06,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",14.6,"A",1.54,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-07,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",14.5,"A",1.53,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-08,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",13.7,"A",1.52,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-09,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",13,"A",1.51,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-10,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",11.3,"A",1.48,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-11,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",12.6,"A",1.47,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-12,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",17.2,"A",1.57,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-13,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",130,"A",2.38,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-14,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",40.1,"A",1.8,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-15,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",26.6,"A",1.67,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-16,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",19.5,"A",1.6,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-17,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",17.3,"A",1.57,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-18,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",51.6,"A",1.88,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-19,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",23.4,"A",1.64,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-20,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",19.6,"A",1.6,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-21,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",17.7,"A",1.57,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-22,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",40.9,"A",1.79,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-23,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",25.9,"A",1.67,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-24,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",19.7,"A",1.6,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-25,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",20,"A",1.6,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-26,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",53.5,"A",1.84,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-27,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",34,"A",1.75,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-28,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",23.2,"A",1.64,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-02-29,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",17.7,"A",1.57,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-01,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",15.6,"A",1.55,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-02,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",16,"A",1.55,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-03,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",14.6,"A",1.53,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-04,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",74.2,"A",1.91,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-05,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",426,"A",3.69,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-06,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",44.8,"A",1.84,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-07,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",386,"A",3.42,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-08,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",193,"A",2.74,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-09,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",62.5,"A",1.98,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-10,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",41.5,"A",1.82,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-11,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",32.2,"A",1.73,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-12,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",25.9,"A",1.67,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-13,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",22.3,"A",1.63,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-14,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",19.9,"A",1.6,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-15,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",90.6,"A",1.98,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-16,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",93.7,"A",2.17,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-17,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",34.9,"A",1.75,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-18,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",25.4,"A",1.66,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-19,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",21.2,"A",1.62,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-20,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",33,"A",1.73,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-21,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",18.6,"A",1.59,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-22,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",18.5,"A",1.59,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-23,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",16,"A",1.55,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-24,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",15.5,"A",1.55,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-25,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",14.5,"A",1.53,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-26,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",16.5,"A",1.56,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-27,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",15.4,"A",1.55,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-28,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",15,"A",1.54,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-29,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",17,"A",1.56,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-30,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",22.5,"A",1.62,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-03-31,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",152,"A",2.43,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-01,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",118,"A",2.33,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-02,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",50.7,"A",1.89,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-03,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",36.6,"A",1.75,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-04,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",102,"A",2.22,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-05,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",361,"A",3.5,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-06,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",110,"A",2.29,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-07,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",51.8,"A",1.9,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-08,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",34.4,"A",1.75,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-09,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",30.4,"A",1.71,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-10,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",26.8,"A",1.68,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-11,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",23.8,"A",1.64,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-12,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",24.8,"A",1.65,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-13,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",23.4,"A",1.64,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-14,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",18.9,"A",1.59,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-15,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",19.4,"A",1.6,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-16,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",16.9,"A",1.56,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-17,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",15.4,"A",1.54,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-18,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",16.9,"A",1.57,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-19,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",15.6,"A",1.55,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-20,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",65.5,"A",1.96,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-21,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",45.3,"A",1.84,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-22,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",28,"A",1.69,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-23,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",25.5,"A",1.66,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-24,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",17.8,"A",1.58,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-25,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",17.3,"A",1.57,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-26,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",16.6,"A",1.56,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-27,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",54.6,"A",1.77,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-28,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",220,"A",2.82,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-04-29,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",84.1,"A",2.11,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-05-01,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",23.2,"A",1.64,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-05-02,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",20.1,"A",1.6,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-05-03,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",18,"A",1.58,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-05-04,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",16.6,"A",1.56,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-05-05,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",15.8,"A",1.55,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-05-06,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",15.9,"A",1.55,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-05-07,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",14.6,"A",1.53,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-05-08,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",14.3,"A",1.53,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-05-09,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",21.5,"A",1.61,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-05-10,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",15.3,"A",1.54,"A",NA,NA,NA,NA,NA,NA
NA,NA,2008-05-11,NA,NA,NA,NA,NA,NA,NA,NA,"USGS","02086849",121,"A",2.12,"A",NA,NA,NA,NA,NA,NA
